Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	36	38	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9812130	
1	1	A	1	N	2500	0	40	24	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9812130	
2	1	A	1	N	2500	0	40	22	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9812240	
3	1	A	1	N	2500	0	40	176	851	51	26	20	0	0	0	0	0	0	0	0	0	0	0	0	9812396	
4	1	A	1	N	2500	0	40	309	1064	73	36	26	0	0	0	0	0	0	0	0	0	0	0	0	9812536	
5	1	A	1	N	2500	0	40	2028	13591	399	203	191	0	0	0	0	0	0	0	0	0	0	0	0	9812692	
6	1	A	1	N	2500	0	40	22	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9812692	
7	1	A	1	N	2500	0	40	22	41	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9813160	
8	1	A	1	N	2500	0	40	47	96	21	28	32	0	0	0	0	0	0	0	0	0	0	0	0	9813160	
9	1	A	1	N	2500	0	40	21	27	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9813222	
10	1	A	1	N	2500	0	40	23	45	8	9	9	0	0	0	0	0	0	0	0	0	0	0	0	9813363	
11	1	A	1	N	2500	0	40	24	43	7	7	8	0	0	0	0	0	0	0	0	0	0	0	0	9813503	
12	1	A	1	N	2500	0	40	22	40	7	8	6	0	0	0	0	0	0	0	0	0	0	0	0	9813519	
13	1	A	1	N	2500	0	40	287	1008	82	33	25	0	0	0	0	0	0	0	0	0	0	0	0	9813675	
14	1	A	1	N	2500	0	40	21	40	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	9813690	
15	1	A	1	N	2500	0	40	29	57	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9813784	
16	1	A	1	N	2500	0	40	22	43	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	9814143	
17	1	A	1	N	2500	0	40	22	39	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9814143	
18	1	A	1	N	2500	0	40	216	655	28	16	10	0	0	0	0	0	0	0	0	0	0	0	0	9814392	
19	1	A	1	N	2500	0	40	26	49	12	12	13	0	0	0	0	0	0	0	0	0	0	0	0	9814408	
20	1	A	1	N	2500	0	40	30	64	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	9814720	
21	1	A	1	N	2500	0	40	305	1051	65	32	22	0	0	0	0	0	0	0	0	0	0	0	0	9814970	
22	1	A	1	N	2500	0	40	25	46	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9815204	
23	1	A	1	N	2500	0	40	30	37	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9815640	
24	1	A	1	N	2500	0	40	26	29	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9815640	
25	1	A	1	N	2500	0	40	328	1168	77	34	28	0	0	0	0	0	0	0	0	0	0	0	0	9815656	
26	1	A	1	N	2500	0	40	25	53	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9815718	
27	1	A	1	N	2500	0	40	27	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9815796	
