Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	452	187	54	22	41	0	0	0	0	0	0	0	0	0	0	0	0	17364100	
1	1	A	1	N	2500	6	40	351	183	42	20	32	0	0	0	0	0	0	0	0	0	0	0	0	17366222	
2	1	A	1	N	2500	6	40	392	177	37	19	30	0	0	0	0	0	0	0	0	0	0	0	0	17366924	
3	1	A	1	N	2500	0	2	326	140	31	15	21	0	0	0	0	0	0	0	0	0	0	0	0	17367126	
4	1	A	1	N	2500	0	1	306	135	26	14	26	0	0	0	0	0	0	0	0	0	0	0	0	17367189	
5	1	A	1	N	2500	0	40	255	172	50	21	32	0	0	0	0	0	0	0	0	0	0	0	0	17367204	
6	1	A	1	N	2500	0	40	344	173	42	20	39	0	0	0	0	0	0	0	0	0	0	0	0	17367641	
7	1	A	1	N	2500	0	40	371	175	37	19	36	0	0	0	0	0	0	0	0	0	0	0	0	17368203	
8	1	A	1	N	2500	0	2	239	170	36	18	32	0	0	0	0	0	0	0	0	0	0	0	0	17368281	
9	1	A	1	N	2500	0	1	275	105	19	11	21	0	0	0	0	0	0	0	0	0	0	0	0	17368858	
10	1	A	1	N	2500	0	40	397	198	45	23	33	0	0	0	0	0	0	0	0	0	0	0	0	17369825	
11	1	A	1	N	2500	0	40	431	191	42	18	31	0	0	0	0	0	0	0	0	0	0	0	0	17370402	
12	1	A	1	N	2500	0	1	202	163	37	17	28	0	0	0	0	0	0	0	0	0	0	0	0	17370605	
13	1	A	1	N	2500	0	40	363	198	49	22	36	0	0	0	0	0	0	0	0	0	0	0	0	17371229	
14	1	B	1	N	2500	6	40	260	173	41	20	34	0	0	0	0	0	0	0	0	0	0	0	0	17378140	
15	1	B	1	N	2500	2	2	323	137	27	14	22	0	0	0	0	0	0	0	0	0	0	0	0	17378436	
16	1	B	1	N	2500	6	40	343	157	36	17	32	0	0	0	0	0	0	0	0	0	0	0	0	17378764	
17	1	B	1	N	2500	6	40	403	217	50	23	40	0	0	0	0	0	0	0	0	0	0	0	0	17379669	
