Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	2	2	306	161	35	17	26	0	0	0	0	0	0	0	0	0	0	0	0	21503006	
1	1	A	1	N	2500	2	1	71	16	4	4	13	0	0	0	0	0	0	0	0	0	0	0	0	21503645	
2	1	A	1	N	2500	2	1	314	136	29	14	28	0	0	0	0	0	0	0	0	0	0	0	0	21503879	
3	1	A	1	N	2500	2	1	262	148	43	18	32	0	0	0	0	0	0	0	0	0	0	0	0	21504706	
4	1	A	1	N	2500	6	40	351	159	41	19	30	0	0	0	0	0	0	0	0	0	0	0	0	21505736	
5	1	A	1	N	2500	6	40	351	170	39	18	33	0	0	0	0	0	0	0	0	0	0	0	0	21505767	
6	1	A	1	N	2500	2	2	330	143	31	14	27	0	0	0	0	0	0	0	0	0	0	0	0	21505892	
7	1	A	1	N	2500	2	1	56	16	5	5	15	0	0	0	0	0	0	0	0	0	0	0	0	21506266	
8	1	A	1	N	2500	2	1	254	98	24	11	18	0	0	0	0	0	0	0	0	0	0	0	0	21506500	
9	1	A	1	N	2500	2	1	322	117	24	11	20	0	0	0	0	0	0	0	0	0	0	0	0	21506750	
10	1	A	1	N	2500	2	1	417	151	42	17	31	0	0	0	0	0	0	0	0	0	0	0	0	21506906	
11	1	A	1	N	2500	2	1	180	126	30	14	27	0	0	0	0	0	0	0	0	0	0	0	0	21506921	
12	1	A	1	N	2500	2	1	270	150	41	18	27	0	0	0	0	0	0	0	0	0	0	0	0	21507015	
13	1	A	1	N	2500	2	1	306	133	28	13	25	0	0	0	0	0	0	0	0	0	0	0	0	21507062	
14	1	A	1	N	2500	2	1	168	120	28	14	23	0	0	0	0	0	0	0	0	0	0	0	0	21507093	
15	1	A	1	N	2500	2	2	323	149	33	14	26	0	0	0	0	0	0	0	0	0	0	0	0	21507124	
16	1	A	1	N	2500	2	1	193	119	28	14	24	0	0	0	0	0	0	0	0	0	0	0	0	21507452	
17	1	A	1	N	2500	2	1	203	118	29	14	21	0	0	0	0	0	0	0	0	0	0	0	0	21507764	
18	1	A	1	N	2500	2	2	319	171	35	18	30	0	0	0	0	0	0	0	0	0	0	0	0	21508013	
19	1	A	1	N	2500	2	1	148	146	43	20	33	0	0	0	0	0	0	0	0	0	0	0	0	21508044	
20	1	A	1	N	2500	2	2	330	153	35	16	29	0	0	0	0	0	0	0	0	0	0	0	0	21508622	
21	1	A	1	N	2500	2	1	210	120	23	10	22	0	0	0	0	0	0	0	0	0	0	0	0	21509870	
22	1	B	1	N	2500	2	1	211	120	20	11	20	0	0	0	0	0	0	0	0	0	0	0	0	21518216	
23	1	B	1	N	2500	2	1	168	121	24	14	22	0	0	0	0	0	0	0	0	0	0	0	0	21518372	
24	1	B	1	N	2500	2	2	364	158	31	16	29	0	0	0	0	0	0	0	0	0	0	0	0	21519573	
25	1	B	1	N	2500	6	40	290	154	36	16	27	0	0	0	0	0	0	0	0	0	0	0	0	21519885	
26	1	B	1	N	2500	6	40	331	187	46	21	41	0	0	0	0	0	0	0	0	0	0	0	0	21520181	
27	1	B	1	N	2500	2	1	407	145	31	14	24	0	0	0	0	0	0	0	0	0	0	0	0	21520228	
28	1	B	1	N	2500	6	40	349	161	40	17	36	0	0	0	0	0	0	0	0	0	0	0	0	21520290	
29	1	B	1	N	2500	0	1	207	167	52	23	42	0	0	0	0	0	0	0	0	0	0	0	0	21520384	
30	1	B	1	N	2500	0	1	169	99	19	9	14	0	0	0	0	0	0	0	0	0	0	0	0	21520509	
31	1	B	1	N	2500	0	40	346	182	40	20	32	0	0	0	0	0	0	0	0	0	0	0	0	21520930	
32	1	B	1	N	2500	0	40	360	159	38	18	34	0	0	0	0	0	0	0	0	0	0	0	0	21520992	
33	1	B	1	N	2500	0	40	338	183	44	21	36	0	0	0	0	0	0	0	0	0	0	0	0	21521024	
34	1	B	1	N	2500	0	40	441	183	43	20	39	0	0	0	0	0	0	0	0	0	0	0	0	21521523	
35	1	B	1	N	2500	0	40	369	162	43	19	34	0	0	0	0	0	0	0	0	0	0	0	0	21521616	
36	1	B	1	N	2500	0	40	329	140	38	16	30	0	0	0	0	0	0	0	0	0	0	0	0	21522116	
37	1	B	1	N	2500	0	40	415	200	57	23	39	0	0	0	0	0	0	0	0	0	0	0	0	21522381	
38	1	B	1	N	2500	0	40	477	204	43	20	36	0	0	0	0	0	0	0	0	0	0	0	0	21522599	
39	1	B	1	N	2500	0	1	444	146	37	14	29	0	0	0	0	0	0	0	0	0	0	0	0	21522709	
40	1	B	1	N	2500	0	40	363	170	46	19	34	0	0	0	0	0	0	0	0	0	0	0	0	21523021	
41	1	B	1	N	2500	0	1	265	146	39	18	28	0	0	0	0	0	0	0	0	0	0	0	0	21523270	
